symbol	CHROM	start_grch37	end_grch37	label	unit	type	min	max	missing	description	long_description	AptName	SeqId	SeqIdVersion	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	Organism	Units	Type	Dilution	ColCheck	cv_qc	cv_qc_chris	Dratio	eLOD	EntrezGeneSymbol
5312	RNF149	2	101887681	101925163	x0so7491	NA	float	35.8	11742.3	-89	seq.9773.15	E3 ubiquitin-protein ligase RNF149	seq.9773.15	9773-15	3	SL008809	E3 ubiquitin-protein ligase RNF149	RN149	Q8NC42	284996	Human	RFU	Protein	20	FLAG	0.125636239686021	0.161200121766084	0.592274146993402	138.3409	NA
5313	RNF150	4	141780961	142134031	x0so7492	NA	float	46.1	22842.3	-89	seq.9774.59	RING finger protein 150	seq.9774.59	9774-59	3	SL018010	RING finger protein 150	RN150	Q9ULK6	57484	Human	RFU	Protein	20	PASS	0.122747531744066	0.0467923618451504	0.117750625894826	131.1671	NA
5314	RNF215	22	30773835	30817760	x0so6492	NA	float	248.9	160915.2	-89	seq.7758.217	RING finger protein 215:Extracellular domain	seq.7758.217	7758-217	3	SL025973	RING finger protein 215:Extracellular domain	RN215:ECD	Q9Y6U7	200312	Human	RFU	Protein	20	PASS	0.0421187079257487	0.0371365152555851	0.0868841198434227	581.57795	NA
5315	RNF215	22	30773835	30817760	x0so7164	NA	float	193	27427.3	-89	seq.9064.12	RING finger protein 215:Cytoplasmic domain	seq.9064.12	9064-12	3	SL025974	RING finger protein 215:Cytoplasmic domain	RN215:CD	Q9Y6U7	200312	Human	RFU	Protein	20	PASS	0.040387694820408	0.0503911356526123	0.244400998255209	460.51515	NA
5316	RNF24	20	3907956	3996229	x0so7440	NA	float	59.2	14985.4	-89	seq.9583.17	RING finger protein 24	seq.9583.17	9583-17	3	SL019021	RING finger protein 24	RNF24	Q9Y225	11237	Human	RFU	Protein	20	PASS	0.0309961154551815	0.0388618548545788	0.16009719819991	195.0865	NA
5317	RNF25	2	219528587	219537134	x0so4111	NA	float	112.9	13140.3	-89	seq.23637.55	E3 ubiquitin-protein ligase RNF25	seq.23637.55	23637-55	3	SL019545	E3 ubiquitin-protein ligase RNF25	RNF25	Q96BH1	64320	Human	RFU	Protein	20	PASS	0.0416699341032105	0.0435212157510049	0.185745428404515	252.22005	NA
5318	RNF31	14	24615892	24629870	x0so3865	NA	float	139.7	105424.8	-89	seq.23183.6	E3 ubiquitin-protein ligase RNF31	seq.23183.6	23183-6	3	SL022646	E3 ubiquitin-protein ligase RNF31	RNF31	Q96EP0	55072	Human	RFU	Protein	20	PASS	0.0596131227779682	0.0565300466291578	0.107964182964082	324.42855	NA
5319	RNF34	12	121837844	121868389	x0so1246	NA	float	226.9	26688.9	-89	seq.13386.248	E3 ubiquitin-protein ligase RNF34	seq.13386.248	13386-248	3	SL020103	E3 ubiquitin-protein ligase RNF34	RNF34	Q969K3	80196	Human	RFU	Protein	20	PASS	0.0641588130673031	0.0576488133405484	0.275970938998018	580.5354	NA
5320	RNF41	12	56598285	56615717	x0so1259	NA	float	195.7	22087.4	-89	seq.13411.21	E3 ubiquitin-protein ligase NRDP1	seq.13411.21	13411-21	3	SL020111	E3 ubiquitin-protein ligase NRDP1	RNF41	Q9H4P4	10193	Human	RFU	Protein	20	PASS	0.0438519121968667	0.0508694625079559	0.226197112971325	505.98235	NA
5321	RNF43	17	56429861	56494956	x0so0162	NA	float	183.6	24634.4	-89	seq.10505.12	E3 ubiquitin-protein ligase RNF43	seq.10505.12	10505-12	3	SL018629	E3 ubiquitin-protein ligase RNF43	RNF43	Q68DV7	54894	Human	RFU	Protein	20	PASS	0.045378166536624	0.0365598234202175	0.104479050647532	443.7533	NA
5322	RNF43	17	56429861	56494956	x0so1625	NA	float	119.2	127990.7	-89	seq.14120.2	E3 ubiquitin-protein ligase RNF43	seq.14120.2	14120-2	3	SL018629	E3 ubiquitin-protein ligase RNF43	RNF43	Q68DV7	54894	Human	RFU	Protein	20	PASS	0.0818442786334809	0.102922989553621	0.295397207321153	310.50675	NA
5323	RNF8	6	37321748	37362514	x0so1720	NA	float	98.7	60198.1	-89	seq.14663.44	E3 ubiquitin-protein ligase RNF8	seq.14663.44	14663-44	3	SL020180	E3 ubiquitin-protein ligase RNF8	RNF8	O76064	9025	Human	RFU	Protein	0.5	PASS	0.0638682264604022	0.0620329377978822	0.144903407399095	286.7493	NA
5324	RNGTT	6	89319985	89673348	x0so1101	NA	float	316.7	17063.8	-89	seq.12847.27	mRNA-capping enzyme	seq.12847.27	12847-27	3	SL019942	mRNA-capping enzyme	MCE1	O60942	8732	Human	RFU	Protein	20	PASS	0.0718525833972315	0.065458705098555	0.339485134745585	875.31845	NA
5325	RNGTT	6	89319985	89673348	x0so2879	NA	float	28.8	73131.9	-89	seq.20135.85	mRNA-capping enzyme	seq.20135.85	20135-85	3	SL019942	mRNA-capping enzyme	MCE1	O60942	8732	Human	RFU	Protein	0.5	FLAG	0.102148838532802	0.104186218036034	0.197209925120313	89.66385	NA
5326	RNPC3	1	104068313	104097861	x0so1080	NA	float	126.4	11374.7	-89	seq.12814.17	RNA-binding protein 40	seq.12814.17	12814-17	3	SL019933	RNA-binding protein 40	RBM40	Q96LT9	55599	Human	RFU	Protein	20	PASS	0.0323499011010128	0.0452751710429731	0.193581136361706	301.7536	NA
5327	RNPEP	1	201951500	201975275	x0so0784	NA	float	192.3	26623.7	-89	seq.12386.11	Aminopeptidase B	seq.12386.11	12386-11	3	SL012837	Aminopeptidase B	AMPB	Q9H4A4	6051	Human	RFU	Protein	20	FLAG	0.0799613653620306	0.0954780267525432	0.209156134587741	447.3902	NA
5328	ROBO1	3	78646390	79816965	x0so5881	NA	float	149.9	76553.6	-89	seq.5740.17	Roundabout homolog 1	seq.5740.17	5740-17	3	SL013095	Roundabout homolog 1	ROBO1	Q9Y6N7	6091	Human	RFU	Protein	20	PASS	0.0612244802629706	0.0668098530818056	0.325155208986622	297.51135	NA
5329	ROBO2	3	75955846	77699115	x0so3731	NA	float	164.5	30089.8	-89	seq.22578.17	Roundabout homolog 2	seq.22578.17	22578-17	3	SL007680	Roundabout homolog 2	ROBO2	Q9HCK4	6092	Human	RFU	Protein	20	PASS	0.0422427594777477	0.0417205788037035	0.200686784588103	491.85615	NA
5330	ROBO2	3	75955846	77699115	x0so5641	NA	float	48.5	6469.7	-89	seq.5116.62	Roundabout homolog 2	seq.5116.62	5116-62	2	SL007680	Roundabout homolog 2	ROBO2	Q9HCK4	6092	Human	RFU	Protein	0.5	PASS	0.0336224874583283	0.0377877372538451	0.267346247701088	116.8019	NA
5331	ROBO3	11	124735282	124751366	x0so5642	NA	float	249	16781	-89	seq.5117.14	Roundabout homolog 3	seq.5117.14	5117-14	3	SL014148	Roundabout homolog 3	ROBO3	Q96MS0	64221	Human	RFU	Protein	20	PASS	0.0801889321462301	0.0824610597656023	0.431650523622272	555.0184	NA
5332	ROBO4	11	124753587	124768396	x0so1970	NA	float	36.2	122124.1	-89	seq.16297.14	Roundabout homolog 4	seq.16297.14	16297-14	3	SL008763	Roundabout homolog 4	ROBO4	Q8WZ75	54538	Human	RFU	Protein	20	PASS	0.0644530848761823	0.0471647748675378	0.0906225615344342	81.0194	NA
5333	ROBO4	11	124753587	124768396	x0so7249	NA	float	55.9	27828.1	-89	seq.9232.1	Roundabout homolog 4	seq.9232.1	9232-1	3	SL008763	Roundabout homolog 4	ROBO4	Q8WZ75	54538	Human	RFU	Protein	0.5	PASS	0.0352213186675634	0.0371492132401126	0.13770627991391	111.0259	NA
5334	ROCK2	2	11319887	11488456	x0so1416	NA	float	84.8	52741	-89	seq.13654.1	Rho-associated protein kinase 2	seq.13654.1	13654-1	3	SL005370	Rho-associated protein kinase 2	ROCK2	O75116	9475	Human	RFU	Protein	20	PASS	0.0440615208372364	0.0539303250837873	0.0828132734864244	220.1407	NA
5335	ROGDI	16	4846969	4852951	x0so3965	NA	float	27.5	57731.5	-89	seq.23343.6	Protein rogdi homolog	seq.23343.6	23343-6	3	SL023326	Protein rogdi homolog	ROGDI	Q9GZN7	79641	Human	RFU	Protein	20	FLAG	0.0587203924643216	0.0366949754835422	0.0882634121078189	65.0694	NA
5336	ROPN1B	3	125687987	125702297	x0so4615	NA	float	172.8	144901.2	-89	seq.25453.57	Ropporin-1B	seq.25453.57	25453-57	5	SL023269	Ropporin-1B	ROP1B	Q9BZX4	152015	Human	RFU	Protein	20	FLAG	0.0709187332811579	0.128742813347406	0.328302260228748	405.0925	NA
5337	ROR1	1	64239693	64647181	x0so4658	NA	float	230.2	80517.1	-89	seq.2590.69	Inactive tyrosine-protein kinase transmembrane receptor ROR1	seq.2590.69	2590-69	4	SL006114	Inactive tyrosine-protein kinase transmembrane receptor ROR1	ROR1	Q01973	4919	Human	RFU	Protein	20	FLAG	0.0614402139064549	0.0652232622248295	0.278795464709242	569.11265	NA
5338	ROR1	1	64239693	64647181	x0so6894	NA	float	28.7	449742.7	-89	seq.8474.6	Inactive tyrosine-protein kinase transmembrane receptor ROR1	seq.8474.6	8474-6	3	SL006114	Inactive tyrosine-protein kinase transmembrane receptor ROR1	ROR1	Q01973	4919	Human	RFU	Protein	20	FLAG	0.0806014969529664	0.080288296087575	0.33039504348561	63.7455	NA
5339	ROR2	9	94325373	94712444	x0so6564	NA	float	203.5	40903.1	-89	seq.7861.9	Tyrosine-protein kinase transmembrane receptor ROR2	seq.7861.9	7861-9	3	SL008955	Tyrosine-protein kinase transmembrane receptor ROR2	ROR2	Q01974	4920	Human	RFU	Protein	20	PASS	0.0343489621781435	0.038537216841648	0.183631801201946	432.4577	NA
5340	RORB	9	77112281	77308093	x0so0852	NA	float	83.3	41726.6	-89	seq.12483.62	Nuclear receptor ROR-beta	seq.12483.62	12483-62	3	SL007576	Nuclear receptor ROR-beta	RORB	Q92753	6096	Human	RFU	Protein	20	PASS	0.0274627871232857	0.0332141541328348	0.0924449638287485	178.4974	NA
5341	RORC	1	151778547	151804348	x0so0706	NA	float	44.1	22217.6	-89	seq.11827.7	Nuclear receptor ROR-gamma	seq.11827.7	11827-7	3	SL019486	Nuclear receptor ROR-gamma	RORG	P51449	6097	Human	RFU	Protein	20	PASS	0.0339002650048948	0.0364585803895927	0.0991857800645386	86.7346	NA
5342	ROS1	6	117609463	117747018	x0so7142	NA	float	99.8	169820.8	-89	seq.9032.30	Proto-oncogene tyrosine-protein kinase ROS	seq.9032.30	9032-30	3	SL018790	Proto-oncogene tyrosine-protein kinase ROS	ROS1	P08922	6098	Human	RFU	Protein	20	FLAG	0.134402607369088	0.123348837206342	0.423491330668557	299.6165	NA
5343	RP2	X	46696375	46741793	x0so4001	NA	float	107.8	13115.3	-89	seq.23391.20	Protein XRP2	seq.23391.20	23391-20	3	SL010853	Protein XRP2	XRP2	O75695	6102	Human	RFU	Protein	20	FLAG	0.138745613826335	0.171883844408723	0.849536229549428	1266.48135	NA
5344	RP9	7	33134409	33149013	x0so3092	NA	float	60.6	12765.9	-89	seq.20988.63	Retinitis pigmentosa 9 protein	seq.20988.63	20988-63	3	SL022208	Retinitis pigmentosa 9 protein	RP9	Q8TA86	6100	Human	RFU	Protein	20	PASS	0.0337150493309923	0.0274132560850174	0.143768793086004	151.5822	NA
5345	RPA2	1	28218035	28241257	x0so2683	NA	float	241.9	339534	-89	seq.19264.6	Replication protein A 32 kDa subunit	seq.19264.6	19264-6	3	SL013744	Replication protein A 32 kDa subunit	RFA2	P15927	6118	Human	RFU	Protein	20	PASS	0.0501252135969581	0.051590238979734	0.141085704185774	558.6464	NA
5346	RPAIN	17	5322961	5336196	x0so3179	NA	float	168.6	36342.6	-89	seq.21219.7	RPA-interacting protein	seq.21219.7	21219-7	3	SL022209	RPA-interacting protein	RPAIN	Q86UA6	84268	Human	RFU	Protein	20	PASS	0.0289887068981115	0.028637831149881	0.138454890953171	380.0034	NA
5347	RPE	2	210867289	210886300	x0so0956	NA	float	53.2	10773.5	-89	seq.12646.2	Ribulose-phosphate 3-epimerase	seq.12646.2	12646-2	3	SL013233	Ribulose-phosphate 3-epimerase	RPE	Q96AT9	6120	Human	RFU	Protein	20	PASS	0.0781355098228259	0.0739595706618759	0.215964408709472	143.86595	NA
5348	RPIA	2	88991162	89050452	x0so0752	NA	float	58.4	33966	-89	seq.12333.87	Ribose-5-phosphate isomerase	seq.12333.87	12333-87	3	SL010958	Ribose-5-phosphate isomerase	RPIA	P49247	22934	Human	RFU	Protein	0.5	PASS	0.0380520441894137	0.0225054855320828	0.108632933053076	121.48995	NA
5349	RPL11	1	24018269	24022915	x0so3206	NA	float	66.4	48289	-89	seq.21286.29	60S ribosomal protein L11	seq.21286.29	21286-29	3	SL014873	60S ribosomal protein L11	RL11	P62913	6135	Human	RFU	Protein	20	PASS	0.0637172716429695	0.0825234723509065	0.376727213014295	176.8017	NA
5350	RPL12	9	130209953	130213684	x0so2629	NA	float	48.3	109067.9	-89	seq.19183.164	60S ribosomal protein L12	seq.19183.164	19183-164	3	SL008622	60S ribosomal protein L12	RL12	P30050	6136	Human	RFU	Protein	20	FLAG	0.075986766691311	0.0764058691852368	0.21543944214503	114.39645	NA
5351	RPL26L1	5	172385732	172396774	x0so3343	NA	float	33.2	26049.1	-89	seq.21583.14	60S ribosomal protein L26-like 1	seq.21583.14	21583-14	3	SL022211	60S ribosomal protein L26-like 1	RL26L	Q9UNX3	51121	Human	RFU	Protein	20	PASS	0.057920669691254	0.0514715986806592	0.141892681551602	111.6432	NA
5352	RPL30	8	99037079	99058697	x0so0848	NA	float	115.1	93059.3	-89	seq.12478.15	60S ribosomal protein L30	seq.12478.15	12478-15	3	SL008862	60S ribosomal protein L30	RL30	P62888	6156	Human	RFU	Protein	20	PASS	0.0552897853096352	0.0501811860005285	0.149837089560533	314.50675	NA
5353	RPL38	17	72199721	72206794	x0so3717	NA	float	58.3	7203.8	-89	seq.22553.4	60S ribosomal protein L38	seq.22553.4	22553-4	3	SL013066	60S ribosomal protein L38	RL38	P63173	6169	Human	RFU	Protein	20	PASS	0.0619824593924743	0.0895349211097363	0.413305984566969	144.17245	NA
5354	RPL5	1	93297582	93307481	x0so3100	NA	float	84	41868.3	-89	seq.20999.12	60S ribosomal protein L5	seq.20999.12	20999-12	3	SL006486	60S ribosomal protein L5	RL5	P46777	6125	Human	RFU	Protein	20	PASS	0.0679915299264588	0.0480858636946935	0.165731881069348	205.76795	NA
5355	RPLP2	11	809647	812880	x0so0355	NA	float	88.1	34180	-89	seq.10949.59	60S acidic ribosomal protein P2	seq.10949.59	10949-59	3	SL008009	60S acidic ribosomal protein P2	RLA2	P05387	6181	Human	RFU	Protein	20	FLAG	0.0530777935261703	0.0904952465176596	0.258404747311793	183.28765	NA
5356	RPN1	3	128338817	128399918	x0so0151	NA	float	143.1	157837.3	-89	seq.10490.3	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	seq.10490.3	10490-3	3	SL025976	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	RPN1:CD	P04843	6184	Human	RFU	Protein	20	PASS	0.0354088340677156	0.0351673914017067	0.117187163217437	339.7796	NA
5357	RPN1	3	128338817	128399918	x0so6130	NA	float	51.5	47658.3	-89	seq.6458.6	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Lumenal domain	seq.6458.6	6458-6	3	SL025975	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Lumenal domain	RPN1:LD	P04843	6184	Human	RFU	Protein	0.5	FLAG	0.123740519590728	0.130896518016237	0.277591338809285	282.0667	NA
5358	RPN2	20	35806813	35870022	x0so3463	NA	float	108.5	44056.4	-89	seq.21828.6	Ribophorin II	seq.21828.6	21828-6	3	SL011101	Ribophorin II	RPN2	P04844	6185	Human	RFU	Protein	20	PASS	0.106802157078691	0.148334126250316	0.596534811124029	635.2131	NA
5359	RPP25	15	75246757	75249805	x0so3939	NA	float	44.9	43832.1	-89	seq.23311.19	Ribonuclease P protein subunit p25	seq.23311.19	23311-19	3	SL023191	Ribonuclease P protein subunit p25	RPP25	Q9BUL9	54913	Human	RFU	Protein	20	PASS	0.0403007276198102	0.0491608539935151	0.177160893216422	99.4976	NA
5360	RPP25L	9	34610483	34612101	x0so4202	NA	float	282	40940.5	-89	seq.24251.44	Ribonuclease P protein subunit p25-like protein	seq.24251.44	24251-44	3	SL023431	Ribonuclease P protein subunit p25-like protein	RP25L	Q8N5L8	138716	Human	RFU	Protein	20	PASS	0.0687925483297878	0.0681493932189183	0.334683074295751	751.8481	NA
5361	RPP30	10	92631473	92668312	x0so2196	NA	float	126.2	45422.3	-89	seq.17511.10	Ribonuclease P protein subunit p30	seq.17511.10	17511-10	3	SL020930	Ribonuclease P protein subunit p30	RPP30	P78346	10556	Human	RFU	Protein	20	PASS	0.0652513612466411	0.0995157306916208	0.425034546610835	323.15895	NA
5362	RPP40	6	4994966	5004297	x0so4604	NA	float	144	88143.7	-89	seq.25422.58	Ribonuclease P protein subunit p40	seq.25422.58	25422-58	3	SL023655	Ribonuclease P protein subunit p40	RPP40	O75818	10799	Human	RFU	Protein	20	PASS	0.0559729504578534	0.0697019589176844	0.217756174065856	344.36545	NA
5363	RPRD1A	18	33564350	33647539	x0so1329	NA	float	169.8	86469.5	-89	seq.13515.8	Regulation of nuclear pre-mRNA domain-containing protein 1A	seq.13515.8	13515-8	3	SL020146	Regulation of nuclear pre-mRNA domain-containing protein 1A	RPR1A	Q96P16	55197	Human	RFU	Protein	20	PASS	0.0219504215179198	0.0291522607293195	0.13395615114358	365.8926	NA
5364	RPRD1B	20	36661948	36720768	x0so2594	NA	float	312.5	40352.8	-89	seq.19126.4	Regulation of nuclear pre-mRNA domain-containing protein 1B	seq.19126.4	19126-4	3	SL005717	Regulation of nuclear pre-mRNA domain-containing protein 1B	C20orf77	Q9NQG5	58490	Human	RFU	Protein	20	PASS	0.0434633307893305	0.0568334461574064	0.311448662093643	753.29695	NA
5365	RPS10	6	34385231	34393902	x0so1169	NA	float	24.3	10434.5	-89	seq.13011.20	40S ribosomal protein S10	seq.13011.20	13011-20	3	SL008108	40S ribosomal protein S10	RS10	P46783	6204	Human	RFU	Protein	20	FLAG	0.284732993002425	0.350573921011289	0.805988769508287	144.83535	NA
5366	RPS12	6	133135580	133138703	x0so3464	NA	float	193	62369.1	-89	seq.21829.8	40S ribosomal protein S12	seq.21829.8	21829-8	3	SL013022	40S ribosomal protein S12	RS12	P25398	6206	Human	RFU	Protein	20	FLAG	0.119248453304247	0.188484405395752	0.566988953408093	1200.4373	NA
5367	RPS14	5	149822753	149829319	x0so3075	NA	float	58.3	23679.1	-89	seq.20964.13	40S ribosomal protein S14	seq.20964.13	20964-13	3	SL022213	40S ribosomal protein S14	RS14	P62263	6208	Human	RFU	Protein	20	PASS	0.0350227080671302	0.0373758939320281	0.144771881545626	126.8823	NA
5368	RPS19	19	42363988	42376994	x0so2619	NA	float	230.9	44663.9	-89	seq.19166.15	40S ribosomal protein S19	seq.19166.15	19166-15	3	SL008098	40S ribosomal protein S19	RS19	P39019	6223	Human	RFU	Protein	20	PASS	0.0648790580122831	0.0647620218796267	0.270032599975902	689.36655	NA
5369	RPS20	8	56979854	56987069	x0so3357	NA	float	61.7	7682.2	-89	seq.21643.8	40S ribosomal protein S20	seq.21643.8	21643-8	3	SL008141	40S ribosomal protein S20	RS20	P60866	6224	Human	RFU	Protein	20	FLAG	0.0648302987398431	0.050471215392462	0.220803172378351	140.8975	NA
5370	RPS25	11	118886422	118889401	x0so3879	NA	float	67.8	142281.1	-89	seq.23243.120	40S ribosomal protein S25	seq.23243.120	23243-120	3	SL008153	40S ribosomal protein S25	RS25	P62851	6230	Human	RFU	Protein	20	PASS	0.0527592918811483	0.0547438504987322	0.144609312852026	154.60725	NA
5371	RPS27A	2	55459039	55462989	x0so4816	NA	float	115.2	46093.9	-89	seq.2846.24	Ubiquitin+1, truncated mutation for UbB	seq.2846.24	2846-24	2	SL000605	Ubiquitin+1, truncated mutation for UbB	Ubiquitin+1	P62979	6233	Human	RFU	Protein	0.5	PASS	0.0556850100757154	0.081013483494296	0.288844380379848	265.0102	NA
5372	RPS27A	2	55459039	55462989	x0so5405	NA	float	72.5	110337.2	-89	seq.4474.19	Ubiquitin	seq.4474.19	4474-19	2	SL004070	Ubiquitin	Ubiquitin	P62979	6233	Human	RFU	Protein	0.005	FLAG	3.12695514347095	0.897543174571548	0.822293270250953	1895.54115	NA
5373	RPS3	11	75110530	75133324	x0so5590	NA	float	119.4	38693.1	-89	seq.5026.66	40S ribosomal protein S3	seq.5026.66	5026-66	1	SL008059	40S ribosomal protein S3	RS3	P23396	6188	Human	RFU	Protein	20	PASS	0.0338882051743306	0.0438877766840884	0.186006344988822	249.1864	NA
5374	RPS3A	4	152020725	152025804	x0so5754	NA	float	165.9	23504	-89	seq.5484.63	40S ribosomal protein S3a	seq.5484.63	5484-63	3	SL011588	40S ribosomal protein S3a	RS3A	P61247	6189	Human	RFU	Protein	20	PASS	0.0418473547067034	0.0331481163366238	0.136234629714	354.8405	NA
5375	RPS4X	X	71475529	71497150	x0so7480	NA	float	137.4	167125.7	-89	seq.9758.17	40S ribosomal protein S4, X isoform	seq.9758.17	9758-17	3	SL019148	40S ribosomal protein S4, X isoform	RS4X	P62701	6191	Human	RFU	Protein	20	PASS	0.0726282239371053	0.0712000138585805	0.195445915316561	348.1882	NA
5376	RPS5	19	58897767	58906173	x0so2636	NA	float	216.8	18640.1	-89	seq.19195.85	40S ribosomal protein S5	seq.19195.85	19195-85	3	SL013041	40S ribosomal protein S5	RS5	P46782	6193	Human	RFU	Protein	20	PASS	0.0496329792461615	0.0469685181972236	0.221716214715538	502.5292	NA
5377	RPS6KA1	1	26856252	26901521	x0so0750	NA	float	43.4	2535.1	-89	seq.12329.21	Ribosomal protein S6 kinase alpha-1	seq.12329.21	12329-21	3	SL013834	Ribosomal protein S6 kinase alpha-1	KS6A1	Q15418	6195	Human	RFU	Protein	0.5	PASS	0.117115127074562	0.0727115875544311	0.252257412743488	92.8585	NA
5378	RPS6KA3	X	20168029	20285523	x0so5109	NA	float	53	54681.7	-89	seq.3469.74	Ribosomal protein S6 kinase alpha-3	seq.3469.74	3469-74	1	SL010515	Ribosomal protein S6 kinase alpha-3	RPS6KA3	P51812	6197	Human	RFU	Protein	20	PASS	0.0495667458239916	0.0554365850196979	0.112544284939165	182.0887	NA
5379	RPS6KA6	X	83318984	83442933	x0so0989	NA	float	42.7	177905.2	-89	seq.12688.115	Ribosomal protein S6 kinase alpha-6	seq.12688.115	12688-115	3	SL019814	Ribosomal protein S6 kinase alpha-6	KS6A6	Q9UK32	27330	Human	RFU	Protein	20	PASS	0.0396975957718083	0.0478876028243167	0.113347251111756	133.6388	NA
5380	RPS6KB1	17	57970447	58027925	x0so0704	NA	float	159.1	27064	-89	seq.11817.1	Ribosomal protein S6 kinase beta-1	seq.11817.1	11817-1	3	SL018792	Ribosomal protein S6 kinase beta-1	KS6B1	P23443	6198	Human	RFU	Protein	20	PASS	0.0539063162963336	0.0617440584830781	0.160150175437551	392.61535	NA
5381	RPS6KB1	17	57970447	58027925	x0so1918	NA	float	135.5	38698.5	-89	seq.15608.5	Ribosomal protein S6 kinase beta-1	seq.15608.5	15608-5	3	SL018792	Ribosomal protein S6 kinase beta-1	KS6B1	P23443	6198	Human	RFU	Protein	20	PASS	0.0474693130576356	0.0530806437707974	0.135735760836075	283.97435	NA
5382	RPS6KB1	17	57970447	58027925	x0so7092	NA	float	65.6	68966	-89	seq.8962.48	Ribosomal protein S6 kinase beta-1	seq.8962.48	8962-48	3	SL018792	Ribosomal protein S6 kinase beta-1	KS6B1	P23443	6198	Human	RFU	Protein	20	FLAG	0.113049435395306	0.136364979926548	0.4408115505601	209.87655	NA
5383	RPS6KB2	11	67195931	67202872	x0so4511	NA	float	86.1	15866.5	-89	seq.25112.6	Ribosomal protein S6 kinase beta-2	seq.25112.6	25112-6	3	SL021541	Ribosomal protein S6 kinase beta-2	KS6B2	Q9UBS0	6199	Human	RFU	Protein	20	PASS	0.0358888046348372	0.0331851846377365	0.135329260845604	178.60505	NA
5384	RPS7	2	3622795	3628509	x0so5259	NA	float	147.8	54958.4	-89	seq.3864.5	40S ribosomal protein S7	seq.3864.5	3864-5	2	SL011528	40S ribosomal protein S7	RS7	P62081	6201	Human	RFU	Protein	20	PASS	0.0395862223086036	0.0478945571128417	0.190329539505511	374.3121	NA
5385	RPSA	3	39448180	39454033	x0so2805	NA	float	129.7	46571.6	-89	seq.19623.26	40S ribosomal protein SA	seq.19623.26	19623-26	3	SL004605	40S ribosomal protein SA	40S ribosomal protein SA	P08865	3921	Human	RFU	Protein	20	PASS	0.0352056298292763	0.0375046786287113	0.121343329622411	326.13065	NA
5386	RRAD	16	66955582	66959547	x0so4057	NA	float	107.5	12959.3	-89	seq.23555.11	GTP-binding protein RAD	seq.23555.11	23555-11	3	SL023339	GTP-binding protein RAD	RAD	P55042	6236	Human	RFU	Protein	20	PASS	0.0487970914687853	0.0607773745399803	0.32150371359287	248.2146	NA
5387	RRAGC	1	39303870	39325495	x0so0896	NA	float	79.2	24269.5	-89	seq.12548.75	Ras-related GTP-binding protein C	seq.12548.75	12548-75	3	SL019776	Ras-related GTP-binding protein C	RRAGC	Q9HB90	64121	Human	RFU	Protein	20	PASS	0.0401307916136927	0.043885128836011	0.144755551938035	156.5062	NA
5388	RRAS	19	50138549	50143458	x0so2243	NA	float	101.8	22695.5	-89	seq.17742.2	Ras-related protein R-Ras	seq.17742.2	17742-2	3	SL008021	Ras-related protein R-Ras	RRAS	P10301	6237	Human	RFU	Protein	20	PASS	0.0602685036733614	0.100958272364983	0.41971002165443	270.7275	NA
5389	RRAS2	11	14299472	14386052	x0so0768	NA	float	191.3	11680	-89	seq.12361.102	Ras-related protein R-Ras2	seq.12361.102	12361-102	3	SL008513	Ras-related protein R-Ras2	RRAS2	P62070	22800	Human	RFU	Protein	20	PASS	0.0365650213326964	0.0423388083670249	0.201902752750534	403.0534	NA
5390	RRBP1	20	17594323	17662940	x0so7579	NA	float	157.7	17019.9	-89	seq.9913.4	Ribosome-binding protein 1	seq.9913.4	9913-4	3	SL011627	Ribosome-binding protein 1	RRBP1	Q9P2E9	6238	Human	RFU	Protein	20	PASS	0.0233297807273204	0.0326748028034702	0.136328692248585	330.1123	NA
5391	RRM1	11	4115937	4160106	x0so0543	NA	float	62.3	100739.3	-89	seq.11360.39	Ribonucleoside-diphosphate reductase large subunit	seq.11360.39	11360-39	3	SL009588	Ribonucleoside-diphosphate reductase large subunit	RRM1	P23921	6240	Human	RFU	Protein	20	PASS	0.0646536467528549	0.056067579954009	0.115644979475563	122.7106	NA
5392	RRM2	2	10262455	10271545	x0so2249	NA	float	207.5	27841.6	-89	seq.17750.8	Ribonucleoside-diphosphate reductase subunit M2	seq.17750.8	17750-8	3	SL007192	Ribonucleoside-diphosphate reductase subunit M2	RIR2	P31350	6241	Human	RFU	Protein	20	FLAG	0.0951288000825723	0.0947204986315674	0.303529389970115	556.2289	NA
5393	RRM2B	8	103216730	103251346	x0so7022	NA	float	232.5	27512.1	-89	seq.8854.59	Ribonucleoside-diphosphate reductase subunit M2 B	seq.8854.59	8854-59	3	SL018712	Ribonucleoside-diphosphate reductase subunit M2 B	RIR2B	Q7LG56	50484	Human	RFU	Protein	20	PASS	0.035256854918374	0.0427420910347422	0.172023564727215	582.326700000001	NA
